Timestamp,File,Folder,CurrentSizeMB,HistoryVersionsMB,TotalOriginalMB,VersionsFound,PolicyApplied,VersionsDeleted,SpaceSavedMB,FinalSizeMB
"2026-04-06 23:52:34","Infor EzRMS Company & Agent not sync to EZRMS 9.5.24.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.08","0.18","0.26","2","Retention 365 Days","2","0.18","0.08"
"2026-04-06 23:52:35","2023 - BUDGET Presentation Ver2 Y 2023.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","1.01","29.91","30.92","30","Retention 365 Days","30","29.91","1.01"
"2026-04-06 23:52:35","Infor EzRMS Company & Agent not sync to EZRMS 5.6.24.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.09","0.17","0.26","2","Retention 365 Days","2","0.17","0.09"
"2026-04-06 23:52:35","H6323 FAMILY PACKAGE_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 28.04.25.xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.08","0.31","0.39","4","Retention 365 Days","4","0.31","0.08"
"2026-04-06 23:52:35","Infor EzRMS Agent profile not sync to EZRMS 24.12.24.pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.23","0.26","0.49","1","Retention 365 Days","1","0.26","0.23"
"2026-04-06 23:52:36","Infor EzRMS Company profile not sync to EZRMS 19.11.24.pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.23","0.27","0.51","1","Retention 365 Days","1","0.27","0.23"
"2026-04-06 23:52:36","2022 - BUDGET Presentation Ver2 20.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","0.38","1.12","1.50","3","Retention 365 Days","3","1.12","0.38"
"2026-04-06 23:52:36","Accor Plus_New Website Offer Loading Forms_ Pullman Bangkok King Power_March 2024 - Chalida Saipradist.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","5.48","16.45","21.93","3","Retention 365 Days","3","16.45","5.48"
"2026-04-06 23:52:36","Infor EzRMS Company profile not sync to EZRMS 23.9.24.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.04","0.04","0.07","1","Retention 365 Days","1","0.04","0.04"
"2026-04-06 23:52:37","Infor EzRMS Accor Price Point Setup 2025.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.07","0.14","0.21","2","Retention 365 Days","2","0.14","0.07"
"2026-04-06 23:52:38","H6323 FESTIVE HOLIDAY 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 30.10.23.xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.08","0.31","0.38","4","Retention 365 Days","4","0.31","0.08"
"2026-04-06 23:52:38","H6323-Distribution Cost-2023 4_APRIL_MTD.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.05","0.21","0.26","4","Retention 365 Days","4","0.21","0.05"
"2026-04-06 23:52:38","Pricing Indexation Pullman Bangkok King Power 27.02.25.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.10","0.10","0.20","1","Retention 365 Days","1","0.10","0.10"
"2026-04-06 23:52:39","H6323-Distribution Cost-2022 10_October_MTD.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.05","0.10","0.16","2","Retention 365 Days","2","0.10","0.05"
"2026-04-06 23:52:39","PMS Changeover Questionnaire - Pullman Bangkok King Power.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.38","1.92","2.30","5","Retention 365 Days","5","1.92","0.38"
